PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",FURNITURE,Furnishings
FUR-ADV-10000108,"Advantus Clock, Erganomic",FURNITURE,Furnishings
FUR-ADV-10000183,"Advantus Photo Frame, Black",FURNITURE,Furnishings
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",FURNITURE,Furnishings
FUR-ADV-10000190,"Advantus Frame, Duo Pack",FURNITURE,Furnishings
FUR-ADV-10000571,"Advantus Frame, Erganomic",FURNITURE,Furnishings
FUR-ADV-10000600,"Advantus Clock, Duo Pack",FURNITURE,Furnishings
FUR-ADV-10000847,"Advantus Stacking Tray, Black",FURNITURE,Furnishings
FUR-ADV-10001283,"Advantus Frame, Black",FURNITURE,Furnishings
FUR-ADV-10001440,"Advantus Door Stop, Black",FURNITURE,Furnishings
FUR-ADV-10001659,"Advantus Light Bulb, Durable",FURNITURE,Furnishings
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",FURNITURE,Furnishings
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",FURNITURE,Furnishings
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",FURNITURE,Furnishings
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",FURNITURE,Furnishings
FUR-ADV-10002889,"Advantus Clock, Durable",FURNITURE,Furnishings
FUR-ADV-10003326,"Advantus Light Bulb, Black",FURNITURE,Furnishings
FUR-ADV-10004159,"Advantus Frame, Durable",FURNITURE,Furnishings
FUR-ADV-10004223,"Advantus Clock, Black",FURNITURE,Furnishings
FUR-ADV-10004395,"Advantus Door Stop, Durable",FURNITURE,Furnishings
FUR-ADV-10004499,"Advantus Photo Frame, Durable",FURNITURE,Furnishings
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",FURNITURE,Furnishings
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",FURNITURE,Furnishings
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",FURNITURE,Tables
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",FURNITURE,Tables
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",FURNITURE,Tables
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",FURNITURE,Tables
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",FURNITURE,Tables
FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",FURNITURE,Tables
FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",FURNITURE,Tables
FUR-BAR-10003532,"Barricks Conference Table, Rectangular",FURNITURE,Tables
FUR-BAR-10003576,"Barricks Training Table, with Bottom Storage",FURNITURE,Tables
FUR-BAR-10004434,"Barricks Wood Table, Rectangular",FURNITURE,Tables
FUR-BAR-10004553,"Barricks Training Table, Rectangular",FURNITURE,Tables
FUR-BAR-10004561,"Barricks Wood Table, Fully Assembled",FURNITURE,Tables
FUR-BAR-10004682,"Barricks Round Table, Fully Assembled",FURNITURE,Tables
FUR-BEV-10000326,"Bevis Wood Table, Rectangular",FURNITURE,Tables
FUR-BEV-10000388,"Bevis Coffee Table, Rectangular",FURNITURE,Tables
FUR-BEV-10001048,"Bevis Conference Table, with Bottom Storage",FURNITURE,Tables
FUR-BEV-10001217,"Bevis Wood Table, Fully Assembled",FURNITURE,Tables
FUR-BEV-10001853,"Bevis Computer Table, Adjustable Height",FURNITURE,Tables
FUR-BEV-10002193,"Bevis Round Table, Adjustable Height",FURNITURE,Tables
FUR-BEV-10002369,"Bevis Training Table, Fully Assembled",FURNITURE,Tables
FUR-BEV-10002803,"Bevis Conference Table, Fully Assembled",FURNITURE,Tables
FUR-BEV-10003414,"Bevis Computer Table, Fully Assembled",FURNITURE,Tables
FUR-BEV-10004805,"Bevis Conference Table, Rectangular",FURNITURE,Tables
FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",FURNITURE,Tables
FUR-BO-10000002,"Bush Classic Bookcase, Mobile",FURNITURE,Bookcases
