SHIP_ID,SHIP_DATE,Ship_Mode,Shipping_Cost
Sam_45827,2011-01-03,Same Day,125.32
Sam_45828,2011-01-03,Same Day,7.46
Sec_7961,2011-01-05,Second Class,8.17
Sec_32747,2011-01-05,Second Class,4.82
Sta_17646,2011-01-06,Standard Class,35.46
Sta_20921,2011-01-06,Standard Class,24.1
Sam_6318,2011-01-07,Same Day,3.937
Sam_9142,2011-01-07,Same Day,3.694
Fir_3131,2011-01-07,First Class,20.64
Fir_3130,2011-01-07,First Class,15.27
Sta_20306,2011-01-07,Standard Class,8.431
Sta_11066,2011-01-07,Standard Class,3.57
Sta_23443,2011-01-07,Standard Class,81.26
Sta_17647,2011-01-07,Standard Class,5.16
Sta_16499,2011-01-07,Standard Class,0.54
Sta_17299,2011-01-07,Standard Class,8.41
Sec_34084,2011-01-07,Second Class,33.75
Sec_30372,2011-01-07,Second Class,21.32
Sec_32507,2011-01-07,Second Class,0.8
Sta_21383,2011-01-07,Standard Class,12.56
Sta_45741,2011-01-08,Standard Class,1.8
Sta_45740,2011-01-08,Standard Class,4.7
Sta_45742,2011-01-08,Standard Class,9.72
Sta_12974,2011-01-08,Standard Class,3.514
Sta_21785,2011-01-08,Standard Class,4.253
Sta_19681,2011-01-08,Standard Class,3.937
Fir_34651,2011-01-08,First Class,32.46
Fir_29138,2011-01-08,First Class,5.72
Fir_4511,2011-01-08,First Class,9.73
Sta_18418,2011-01-08,Standard Class,10.78
Sec_5432,2011-01-08,Second Class,5.91
Sta_16270,2011-01-08,Standard Class,1.54
Sta_17877,2011-01-08,Standard Class,0.82
Sta_18898,2011-01-08,Standard Class,0.51
Sta_16804,2011-01-08,Standard Class,5.11
Sta_42312,2011-01-08,Standard Class,7.74
Sta_50032,2011-01-08,Standard Class,1.82
Fir_2121,2011-01-08,First Class,3.51
Sec_24225,2011-01-09,Second Class,109.129
Sec_7014,2011-01-09,Second Class,10.383
Sec_25006,2011-01-09,Second Class,39.98
Sta_20580,2011-01-09,Standard Class,10.4
Sta_36044,2011-01-09,Standard Class,9.536
Sta_22670,2011-01-09,Standard Class,42.279
Sta_17300,2011-01-09,Standard Class,191.201
Sta_35169,2011-01-09,Standard Class,8.17
Sta_35168,2011-01-09,Standard Class,10.07
Sta_35170,2011-01-09,Standard Class,8.34
Sta_34786,2011-01-09,Standard Class,107.1
Sta_46879,2011-01-09,Standard Class,0.55
Sta_48854,2011-01-09,Standard Class,13.59
Sta_48853,2011-01-09,Standard Class,0.99
Sta_39622,2011-01-09,Standard Class,2.11
Sta_39993,2011-01-09,Standard Class,0.9
Sec_1,2011-01-09,Second Class,4.37
Sta_11497,2011-01-10,Standard Class,1.96
Sam_5435,2011-01-10,Same Day,13.08
Sam_26669,2011-01-10,Same Day,4.32
Sam_26147,2011-01-10,Same Day,114.15
Sam_4991,2011-01-10,Same Day,67.79
Sam_5726,2011-01-10,Same Day,16.06
Sam_4990,2011-01-10,Same Day,58.32
Sam_24419,2011-01-10,Same Day,134.59
Sam_26604,2011-01-10,Same Day,52.91
Sam_5434,2011-01-10,Same Day,2.03
Sam_5433,2011-01-10,Same Day,2.59
Sta_37089,2011-01-10,Standard Class,6.2
Sta_37021,2011-01-10,Standard Class,2.63
Fir_8307,2011-01-10,First Class,13.7
Fir_8026,2011-01-10,First Class,52.46
Fir_32864,2011-01-10,First Class,0.28
Sta_15026,2011-01-11,Standard Class,4.36
Sta_19559,2011-01-11,Standard Class,2.0
Fir_45361,2011-01-11,First Class,665.27
Fir_45359,2011-01-11,First Class,5.54
Fir_45360,2011-01-11,First Class,3.02
Sta_37487,2011-01-11,Standard Class,7.042
Fir_9143,2011-01-11,First Class,5.26
Fir_6677,2011-01-11,First Class,5.86
Sta_12670,2011-01-11,Standard Class,16.394
Sta_23593,2011-01-11,Standard Class,2.88
Sta_23078,2011-01-11,Standard Class,23.84
Sec_31785,2011-01-11,Second Class,0.82
Sta_36370,2011-01-11,Standard Class,3.21
Sta_35827,2011-01-11,Standard Class,26.2
Sta_35826,2011-01-11,Standard Class,42.19
Sta_35828,2011-01-11,Standard Class,46.97
Sta_23984,2011-01-11,Standard Class,5.82
Sam_8624,2011-01-11,Same Day,20.54
Sam_25084,2011-01-11,Same Day,178.98
Sta_2236,2011-01-11,Standard Class,0.52
Sta_27989,2011-01-11,Standard Class,258.99
Sta_27991,2011-01-11,Standard Class,13.82
Sta_2238,2011-01-11,Standard Class,2.19
Sta_27990,2011-01-11,Standard Class,62.37
Sta_2239,2011-01-11,Standard Class,1.13
Sta_2237,2011-01-11,Standard Class,88.07
Sec_26476,2011-01-12,Second Class,275.52
Sec_24170,2011-01-12,Second Class,80.13
Fir_6422,2011-01-12,First Class,6.469
Fir_25733,2011-01-12,First Class,39.108
Fir_31365,2011-01-12,First Class,57.746
Fir_7827,2011-01-12,First Class,103.841
Sta_13258,2011-01-12,Standard Class,0.89
Sta_23371,2011-01-13,Standard Class,349.87
Sec_7826,2011-01-13,Second Class,33.671
Sec_8952,2011-01-13,Second Class,5.656
Sta_35963,2011-01-13,Standard Class,34.99
Sta_36371,2011-01-13,Standard Class,5.55
Sta_36372,2011-01-13,Standard Class,0.69
Sta_37090,2011-01-13,Standard Class,10.08
Sta_46262,2011-01-13,Standard Class,6.69
Sta_46417,2011-01-13,Standard Class,0.63
Sta_49883,2011-01-13,Standard Class,1.85
Sta_37722,2011-01-13,Standard Class,2.45
Sta_37333,2011-01-13,Standard Class,3.62
Sta_43151,2011-01-14,Standard Class,3.91
Sta_43150,2011-01-14,Standard Class,65.64
Sta_15509,2011-01-14,Standard Class,1.29
Sta_50341,2011-01-14,Standard Class,0.21
Sta_50342,2011-01-14,Standard Class,1.13
Sta_39994,2011-01-14,Standard Class,14.65
Sta_42388,2011-01-14,Standard Class,7.93
Sta_42387,2011-01-14,Standard Class,17.09
Sta_42386,2011-01-14,Standard Class,3.31
Sta_42385,2011-01-14,Standard Class,0.25
Sec_5657,2011-01-15,Second Class,31.41
Sta_12196,2011-01-15,Standard Class,5.83
Sta_11877,2011-01-15,Standard Class,7.99
Sta_23665,2011-01-15,Standard Class,15.62
Sam_33196,2011-01-15,Same Day,21.13
